Date,BTC Volume,BTC Daily Volume Change (%),BTC New Coins Mined,BTC New Coins Mined (%),BTC Active Addresses,BTC Daily Active Addresses Change (%),BTC Transactions,BTC Daily Transactions Change (%)
2009-03-11,0.0,,5700.0,0.06542056074766345,0,,0,
2009-03-12,150.0,inf,5900.0,0.03508771929824572,4,inf,1,inf
2009-03-13,750.0,4.0,5650.0,-0.0423728813559322,14,2.5,1,0.0
2009-03-14,0.0,-1.0,5500.0,-0.026548672566371723,0,-1.0,0,-1.0
2009-03-15,0.0,,6150.0,0.11818181818181817,0,,0,
2009-03-16,2400.0,inf,6050.0,-0.016260162601625994,49,inf,1,inf
2009-03-17,0.0,-1.0,5700.0,-0.05785123966942152,0,-1.0,0,-1.0
2009-03-18,700.0,inf,5700.0,0.0,15,inf,2,inf
2009-03-19,0.0,-1.0,6100.0,0.07017543859649122,0,-1.0,0,-1.0
2009-03-20,600.0,inf,5900.0,-0.032786885245901676,13,inf,1,inf
2009-03-21,0.0,-1.0,2500.0,-0.576271186440678,0,-1.0,0,-1.0
2009-03-22,550.0,inf,5950.0,1.38,12,inf,2,inf
2009-03-23,0.0,-1.0,6500.0,0.09243697478991586,0,-1.0,0,-1.0
2009-03-24,0.0,,5250.0,-0.1923076923076923,0,,0,
2009-03-25,0.0,,5850.0,0.11428571428571432,0,,0,
2009-03-26,1400.0,inf,5850.0,0.0,29,inf,1,inf
2009-03-27,0.0,-1.0,5300.0,-0.09401709401709402,0,-1.0,0,-1.0
2009-03-28,1000.0,inf,5950.0,0.12264150943396235,21,inf,3,inf
2009-03-29,0.0,-1.0,5800.0,-0.025210084033613467,0,-1.0,0,-1.0
2009-03-30,0.0,,6000.0,0.034482758620689724,0,,0,
2009-03-31,1600.0,inf,5500.0,-0.08333333333333337,33,inf,1,inf
2009-04-01,0.0,-1.0,5700.0,0.036363636363636376,0,-1.0,0,-1.0
2009-04-02,0.0,,5750.0,0.00877192982456143,0,,0,
2009-04-03,0.0,,5800.0,0.008695652173912993,0,,0,
2009-04-04,0.0,,5650.0,-0.025862068965517238,0,,0,
2009-04-05,850.0,inf,6500.0,0.1504424778761062,18,inf,2,inf
2009-04-06,0.0,-1.0,5450.0,-0.16153846153846152,0,-1.0,0,-1.0
2009-04-07,0.0,,5000.0,-0.08256880733944949,0,,0,
2009-04-08,0.0,,5250.0,0.050000000000000044,0,,0,
2009-04-09,0.0,,4950.0,-0.05714285714285716,0,,0,
2009-04-10,0.0,,5400.0,0.09090909090909083,0,,0,
2009-04-11,350.0,inf,6000.0,0.11111111111111116,8,inf,1,inf
2009-04-12,950.0,1.7142857142857144,5900.0,-0.01666666666666672,9,0.125,2,1.0
2009-04-13,50.0,-0.9473684210526316,5750.0,-0.025423728813559365,2,-0.7777777777777778,1,-0.5
